,,使用,高度,移動類型,兵器類型,性能,編成數,耐久度,生產回合,生產計數,特殊能力,,,,,,,,,,,掃除地雷,掃除機雷,夜間減少率,索敵範圍,,,,,,迎擊範圍,,,,,,價格,搭載種類,,,,,,,,,,,,,,,,搭乘種類,搭載地點,回避力,,,,,,,補給,,,,,,,,,初期武裝套組,變形編號,武裝１,副屬,攻擊判定次數,裝填時間,武裝２,副屬,攻擊判定次數,裝填時間,武裝３,副屬,攻擊判定次數,裝填時間,武裝４,副屬,攻擊判定次數,裝填時間,武裝５,副屬,攻擊判定次數,裝填時間,武裝套組１,,,,,,高速移動力,ECM回避力,,武裝套組２,,,,,,高速移動力,ECM回避力,,武裝套組３,,,,,,高速移動力,ECM回避力,,武裝套組４,,,,,,高速移動力,ECM回避力,,圖像編號,兵器移動聲,地圖圖像,地圖圖像小,兵器別圖示
4982,牡鹿級,×,海上,海上A,巡防艦,0,1,14,3,480,0,0,0,0,×,×,×,×,×,○,×,×,×,60,2,4,3,3,4,1,0,0,0,0,0,0,8000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,22,22,24,26,26,22,28,×,×,○,×,×,×,×,×,×,0,0,20mm機關砲,艦砲,10,8,,,,,,,,,,,,,,,,,12,0,0,0,0,4,5,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4982,4,44,44,7748
4911,知床級,×,海上,海上A,巡防艦,0,1,14,3,480,0,0,0,0,×,×,×,×,×,○,×,×,×,60,2,4,3,3,4,1,0,0,0,0,0,0,7000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,20,20,23,25,25,22,28,×,×,○,×,×,×,×,×,×,0,0,40mm機關砲,艦砲D,10,8,,,,,,,,,,,,,,,,,12,0,0,0,0,4,5,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4911,4,44,44,7749
4983,參峰,×,海上,海上A,巡防艦,0,1,30,5,600,0,0,0,0,×,×,×,×,×,○,×,×,×,70,2,5,4,4,5,1,0,0,0,0,0,0,18000,00100000,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,24,24,25,25,25,22,22,×,×,○,×,×,×,×,×,×,0,0,35mm機關砲,艦砲B,10,8,,,,,,,,,,,,,,,,,16,0,0,0,0,5,6,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4983,4,44,44,7750
4984,太平洋,×,海上,海上A,巡防艦,0,1,20,4,600,0,0,0,0,×,×,×,×,×,○,×,×,×,70,2,5,4,4,5,1,0,0,0,0,0,0,14000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,24,24,25,25,25,21,22,×,×,○,×,×,×,×,×,×,0,0,40mm機關砲,艦砲D,10,8,,,,,,,,,,,,,,,,,16,0,0,0,0,4,5,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4984,4,44,44,7751
4999,齊民,×,海上,海上A,巡防艦,0,1,14,3,480,0,0,0,0,×,×,×,×,×,○,×,×,×,70,2,4,3,3,4,1,0,0,0,0,0,0,9000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,23,23,25,26,26,21,24,×,×,○,×,×,×,×,×,×,0,0,20mm機關砲,艦砲,10,8,,,,,,,,,,,,,,,,,12,0,0,0,0,4,5,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999,4,44,44,7752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4203,LCS-1_自由,○,海上,海上C,輕武裝快艦,0,1,22,5,600,3,0,0,0,○,×,×,×,×,○,×,×,○,90,3,5,4,4,5,3,0,0,0,0,0,0,25000,00100000,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,36,36,35,24,24,36,40,×,×,○,×,×,×,×,×,×,0,0,RAM,Sh-A-M,10,15,57mm砲,艦砲,10,10,,,,,,,,,,,,,2,14,0,0,0,6,7,20,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4203,4,45,45,7801
4204,LCS-2_獨立,○,海上,海上C,輕武裝快艦,0,1,20,5,600,3,0,0,0,○,×,×,×,×,○,×,×,○,90,3,5,4,4,5,3,0,0,0,0,0,0,28000,00100000,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,34,30,30,36,48,×,×,○,×,×,×,×,×,×,0,0,RAM,Sh-A-M,10,15,57mm砲,艦砲,10,10,,,,,,,,,,,,,2,14,0,0,0,6,7,20,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4204,4,45,45,7802
4208,史特雷修奇級,○,海上,海上C,輕武裝快艦,0,1,24,4,540,5,0,0,0,○,×,×,×,×,○,×,×,×,80,2,4,3,3,4,3,0,0,0,0,0,0,26000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,34,20,20,35,43,×,×,○,×,×,×,×,×,×,0,0,Kh-35,SS-N-25,10,20,9M311 Kortik,SA-N-11,10,15,100mm砲,艦砲C,10,10,,,,,,,,,4,3,10,0,0,5,6,12,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4208,4,45,45,7803
4210,毒蜘蛛Ⅲ,○,海上,海上C,輕武裝快艦,0,1,14,3,480,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,3,2,2,3,1,0,0,0,0,0,0,12000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,37,37,33,20,20,32,43,×,×,○,×,×,×,×,×,×,0,0,3M80 Zubr,SS-N-22,10,20,9M36 箭式3,SA-N-8,10,15,76mm砲,艦砲E,10,10,,,,,,,,,2,2,12,0,0,6,7,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4210,4,45,45,4601
4214,毒蜘蛛Ⅰ,○,海上,海上C,輕武裝快艦,0,1,14,3,420,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,3,2,2,3,1,0,0,0,0,0,0,10000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,37,37,33,20,20,32,43,×,×,○,×,×,×,×,×,×,0,0,P-20M,SS-N-2,10,20,9M32 箭式2,SA-N-5,10,15,76mm砲,艦砲E,10,10,,,,,,,,,2,2,12,0,0,6,8,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4214,4,45,45,4606
4217,不倫瑞克級,○,海上,海上B,輕武裝快艦,0,1,24,4,540,6,0,0,0,○,×,×,×,×,○,×,×,×,80,2,4,3,3,4,3,0,0,0,0,0,0,25000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,34,28,28,34,36,×,×,○,×,×,×,×,×,×,0,0,Rbs.15MK.3,Sh-Sh-M,10,20,RAM,Sh-A-M,10,15,76mm砲,艦砲E,10,10,,,,,,,,,2,4,12,0,0,5,6,16,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4217,4,45,45,7804
4220,Qahil Al Amwaj級,○,海上,海上B,輕武裝快艦,0,1,22,4,540,6,0,0,0,○,×,×,×,×,○,×,×,×,80,3,5,4,4,5,3,0,0,0,0,0,0,26000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,32,32,31,28,28,33,35,×,×,○,×,×,×,×,×,×,0,0,飛魚 MM40,Sh-Sh-M,10,20,古鈸NG,Sh-A-M,10,15,Mk.46,Sh-Sub-T,4,14,76mm砲,艦砲E,10,10,,,,,4,2,3,12,0,5,6,16,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220,4,45,45,4610
4222,艾林米級,○,海上,海上A,輕武裝快艦,0,1,18,4,480,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,3,2,2,3,1,0,0,0,0,0,0,8000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,30,30,29,24,24,32,36,×,×,○,×,×,×,×,×,×,0,0,104mm砲,艦砲,10,10,40mm機關砲,艦砲D,10,8,,,,,,,,,,,,,10,14,0,0,0,4,5,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4222,4,45,45,7805
4225,Sa'ar5艾拉特級,○,海上,海上B,輕武裝快艦,0,1,16,4,540,4,0,0,0,○,×,×,×,×,○,×,×,×,80,3,5,4,4,5,3,0,0,0,0,0,0,32000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,33,33,30,24,24,35,41,×,×,○,×,×,×,×,×,×,0,0,閃電,Sh-A-M,10,15,RGM-84 魚叉,Sh-Sh-M,10,20,加百列3,Sh-Sh-M,10,20,Mk.46,Sh-Sub-T,4,14,,,,,3,4,4,3,0,6,7,16,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4225,4,45,45,4604
4228,默裡．吉布級,○,海上,海上C,輕武裝快艦,0,1,14,3,360,0,0,0,0,×,×,×,×,×,○,×,×,×,70,1,2,2,2,3,1,0,0,0,0,0,0,8000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,34,34,32,24,24,32,38,×,×,○,×,×,×,×,×,×,0,0,飛魚 MM40,Sh-Sh-M,10,20,古鈸,Sh-A-M,10,15,76mm砲,艦砲E,10,10,,,,,,,,,4,4,12,0,0,7,8,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4228,4,45,45,4611
4230,卡斯吐里級,○,海上,海上A,輕武裝快艦,0,1,20,4,540,0,0,0,0,○,×,×,×,×,○,×,×,×,70,2,4,3,3,4,3,0,0,0,0,0,0,20000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,31,31,30,26,26,33,33,×,×,○,×,×,×,×,×,×,0,0,飛魚 MM40,Sh-Sh-M,10,20,反潛火箭,Sh-Sub-R,10,12,100mm砲,艦砲C,10,10,57mm砲,艦砲,10,10,,,,,2,3,10,14,0,5,6,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4230,4,45,45,7806
4231,拉薩瑪納級,○,海上,海上A,輕武裝快艦,0,1,18,4,480,0,0,0,0,○,×,×,×,×,○,×,×,×,70,2,4,3,3,4,3,0,0,0,0,0,0,15000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,28,28,29,24,24,31,35,×,×,○,×,×,×,×,×,×,0,0,奧圖瑪,Sh-Sh-M,10,20,蝮蛇,Sh-A-M,10,15,76mm砲,艦砲E,10,10,,,,,,,,,1,2,12,0,0,6,7,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4231,4,45,45,4521
4233,維斯比級,○,海上,海上C,輕武裝快艦,0,1,22,4,540,3,0,0,0,○,×,×,×,×,○,×,×,×,80,3,5,4,4,5,3,0,0,0,0,0,0,28000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,34,22,22,36,42,×,×,○,×,×,×,×,×,×,0,0,Rbs.23,Sh-A-M,10,15,Rbs.15MK.2,Sh-Sh-M,10,20,Type613,Sh-Sub-T,4,14,艾瑪,Sh-Sub-R,10,12,57mm砲,艦砲,10,10,3,4,3,2,12,6,7,20,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4233,4,45,45,4602
4235,哥德堡級,○,海上,海上C,輕武裝快艦,0,1,14,3,480,6,0,0,0,○,×,×,×,×,○,×,×,×,70,2,4,3,3,4,3,0,0,0,0,0,0,12000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,32,22,22,33,40,×,×,○,×,×,×,×,×,×,0,0,Rbs.15,Sh-Sh-M,10,20,Type613,Sh-Sub-T,4,14,艾瑪,Sh-Sub-R,10,12,57mm砲,艦砲,10,10,40mm機關砲,艦砲D,10,8,4,3,2,12,14,6,7,12,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4235,4,45,45,4603
4240,寇拉級,○,海上,海上B,輕武裝快艦,0,1,18,3,480,0,0,0,0,○,×,×,×,×,○,×,×,×,60,2,4,3,3,4,3,0,0,0,0,0,0,16000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,31,31,31,30,30,34,33,×,×,○,×,×,×,×,×,×,0,0,Kh-35,SS-N-25,10,20,9M32 箭式2,SA-N-5,10,15,76mm砲,艦砲E,10,10,,,,,,,,,8,2,12,0,0,5,6,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4240,4,45,45,4605
4243,斯帕德拉級,○,海上,海上B,輕武裝快艦,0,1,15,4,480,0,0,0,0,×,×,×,×,×,○,×,×,×,80,1,3,2,2,3,1,0,0,0,0,0,0,22000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,31,31,31,30,30,34,33,×,×,○,×,×,×,×,×,×,0,0,達奈許,SRBMship,10,75,40mm機關砲,艦砲C,10,8,,,,,,,,,,,,,1,14,0,0,0,5,6,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243,4,45,45,4607
4246,浦頂級,○,海上,海上C,輕武裝快艦,0,1,18,3,420,0,0,0,0,○,×,×,×,×,○,×,×,×,60,2,4,3,3,4,3,0,0,0,0,0,0,14000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,31,31,30,25,25,31,36,×,×,○,×,×,×,×,×,×,0,0,76mm砲,艦砲E,10,10,40mm機關砲,艦砲C,10,8,Mk.46,Sh-Sub-T,4,14,,,,,,,,,10,14,3,0,0,5,6,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4246,4,45,45,4608
4250,沙里院級,○,海上,海上C,輕武裝快艦,0,1,8,3,360,0,0,0,0,○,×,×,×,×,○,×,×,×,60,1,2,2,2,3,2,0,0,0,0,0,0,7000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,32,32,30,22,22,30,40,×,×,○,×,×,×,×,×,×,0,0,85mm砲,艦砲,10,12,57mm機關砲,艦砲B,10,10,RBU-1200,Sh-Sub-R,10,12,,,,,,,,,12,14,4,0,0,4,5,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250,4,45,45,4609
4252,拉踏納康辛級,○,海上,海上B,輕武裝快艦,0,1,14,4,480,0,0,0,0,○,×,×,×,×,○,×,×,×,60,2,4,3,3,4,3,0,0,0,0,0,0,14000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,31,31,30,25,25,31,34,×,×,○,×,×,×,×,×,×,0,0,RGM-84 魚叉,Sh-Sh-M,10,20,蝮蛇,Sh-A-M,10,15,Mk.46,Sh-Sub-T,4,14,76mm砲,艦砲D,10,10,40mm機關砲,艦砲C,10,8,4,3,3,10,14,4,5,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4252,4,45,45,4612
4256,因哈馬級,○,海上,海上B,輕武裝快艦,0,1,22,4,540,0,0,0,0,○,×,×,×,×,○,×,×,×,70,2,4,3,3,4,3,0,0,0,0,0,0,12000,00100000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,32,32,31,29,29,33,35,×,×,○,×,×,×,×,×,×,0,0,飛魚 MM40,Sh-Sh-M,10,20,Mk.46,Sh-Sub-T,4,14,114mm砲,艦砲B,10,10,40mm機關砲,艦砲B,10,8,,,,,2,3,10,14,0,5,6,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4256,4,45,45,4613
4985,阿蘇級,×,海上,海上C,輕武裝快艦,0,1,12,2,300,0,0,0,0,×,×,×,×,×,○,×,×,×,70,1,3,2,2,3,1,0,0,0,0,0,0,12000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,34,22,22,32,40,×,×,○,×,×,×,×,×,×,0,0,40mm機關砲,艦砲B,10,8,,,,,,,,,,,,,,,,,10,0,0,0,0,6,7,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4985,4,45,45,7807
4986,劍級,×,海上,海上C,輕武裝快艦,0,1,12,2,300,0,0,0,0,×,×,×,×,×,○,×,×,×,80,1,2,2,2,3,1,0,0,0,0,0,0,6000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,34,20,20,32,43,×,×,○,×,×,×,×,×,×,0,0,20mm機關砲,艦砲,10,8,,,,,,,,,,,,,,,,,10,0,0,0,0,6,8,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4986,4,45,45,7808
4992,掃雷艇,○,海上,海上B,輕武裝快艦,0,1,12,2,300,0,0,0,0,×,×,×,×,×,○,×,×,○,80,1,2,2,2,3,1,0,0,0,0,0,0,2000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,30,30,30,29,29,32,34,×,×,○,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,5,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4992,4,45,45,7809
4898,盜獵魚船,×,海上,海上C,輕武裝快艦,0,1,4,2,300,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,3,1,0,0,0,0,0,0,1000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,25,25,25,24,24,20,36,×,×,○,×,×,×,×,×,×,0,0,獵槍,特殊,10,8,,,,,,,,,,,,,,,,,3,0,0,0,0,3,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4898,4,45,45,7810
4899,盜獵魚船,×,海上,海上C,輕武裝快艦,0,1,4,2,300,0,0,0,0,×,×,×,×,×,○,×,×,×,40,1,2,2,2,3,1,0,0,0,0,0,0,1000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,25,25,25,24,24,20,36,×,×,○,×,×,×,×,×,×,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4899,4,45,45,7811
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4261,隼,○,海上,海上C,高速飛彈艇,0,1,12,2,300,6,0,0,0,×,×,×,×,×,○,×,×,×,70,1,2,2,2,3,1,0,0,0,0,0,0,7000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,34,20,20,32,43,×,×,○,×,×,×,×,×,×,0,0,SSM-1B,Sh-Sh-M,10,20,76mm砲,艦砲E,10,10,,,,,,,,,,,,,2,6,0,0,0,7,8,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261,4,46,46,4701
4263,飛彈艇1號,○,海上,海上C,高速飛彈艇,0,1,6,2,300,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,4000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,31,18,18,34,68,×,×,○,×,×,×,×,×,×,0,0,SSM-1B,Sh-Sh-M,10,20,,,,,,,,,,,,,,,,,2,0,0,0,0,7,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4263,4,46,46,4702
4269,ＯｓａⅡ,○,海上,海上C,高速飛彈艇,0,1,8,2,240,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,3500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,32,19,19,30,36,×,×,○,×,×,×,×,×,×,0,0,P-20M,SS-N-2,10,20,30mm機關砲,艦砲,10,8,,,,,,,,,,,,,2,8,0,0,0,6,7,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4269,4,46,46,4707
4270,ＯｓａⅠ,○,海上,海上C,高速飛彈艇,0,1,8,2,240,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,3000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,32,19,19,30,36,×,×,○,×,×,×,×,×,×,0,0,P-15,SS-N-2,10,20,30mm機關砲,艦砲,10,8,,,,,,,,,,,,,2,8,0,0,0,6,7,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4270,4,46,46,4715
4272,黃蜂,○,海上,海上C,高速飛彈艇,0,1,8,2,240,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,3000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,32,19,19,30,36,×,×,○,×,×,×,×,×,×,0,0,C-201,Sh-Sh-M,10,20,30mm機關砲,艦砲,10,8,,,,,,,,,,,,,2,6,0,0,0,6,7,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4272,4,46,46,4709
4273,Subcut級,○,海上,海上C,高速飛彈艇,0,1,8,2,240,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,3000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,32,19,19,30,36,×,×,○,×,×,×,×,×,×,0,0,C-201,Sh-Sh-M,10,20,25mm機關砲,艦砲,10,8,,,,,,,,,,,,,2,6,0,0,0,6,7,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4273,4,46,46,4709
4275,燒酎級,○,海上,海上C,高速飛彈艇,0,1,8,2,240,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,3000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,32,19,19,30,36,×,×,○,×,×,×,×,×,×,0,0,C-201,Sh-Sh-M,10,20,30mm機關砲,艦砲,10,8,,,,,,,,,,,,,2,8,0,0,0,6,7,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4275,4,46,46,4711
4278,蚊級,○,海上,海上C,高速飛彈艇,0,1,6,2,240,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,2000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,37,37,33,20,20,31,42,×,×,○,×,×,×,×,×,×,0,0,P-15,SS-N-2,10,20,25mm機關砲,艦砲,10,8,,,,,,,,,,,,,1,8,0,0,0,7,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278,4,46,46,4713
4281,忠誠級,○,海上,海上C,高速飛彈艇,0,1,14,3,360,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,5000,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,34,34,32,25,25,33,36,×,×,○,×,×,×,×,×,×,0,0,RGM-84 魚叉,Sh-Sh-M,10,20,76mm砲,艦砲E,10,10,,,,,,,,,,,,,2,8,0,0,0,7,8,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4281,4,46,46,4720
4284,Type143A印度豹,○,海上,海上C,高速飛彈艇,0,1,10,2,300,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,5500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,37,37,33,20,20,31,42,×,×,○,×,×,×,×,×,×,0,0,飛魚 MM38,Sh-Sh-M,10,20,RAM,Sh-A-M,10,15,76mm砲,艦砲E,10,10,,,,,,,,,2,3,8,0,0,6,7,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4284,4,46,46,4703
4287,Type148虎式,○,海上,海上C,高速飛彈艇,0,1,8,2,300,0,0,0,0,×,×,×,×,×,○,×,×,×,60,1,2,2,2,3,1,0,0,0,0,0,0,4500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,36,36,33,20,20,30,40,×,×,○,×,×,×,×,×,×,0,0,飛魚 MM38,Sh-Sh-M,10,20,76mm砲,艦砲E,10,10,40mm機關砲,艦砲D,10,8,,,,,,,,,2,6,8,0,0,7,8,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4287,4,46,46,4721
